county_fips,County,BENES_TOTAL_CNT,PQI03_DBTS_AGE_LT_65,PQI05_COPD_ASTHMA_AGE_40_64,PQI15_ASTHMA_AGE_LT_40
02013,Aleutians East,171,,,
02016,Aleutians West,250,,,
02020,Anchorage,45726,,,
02050,Bethel,1748,,,
02060,Bristol Bay,181,,,
02063,Chugach,263,,,
02066,Copper River,239,,,
02068,Denali,320,,,
02070,Dillingham,578,,,
02090,Fairbanks North Star,13603,,,
02100,Haines,737,,,
02105,Hoonah-Angoon,586,,,
02110,Juneau,5958,,,
02122,Kenai Peninsula,14408,,,
02130,Ketchikan Gateway,2867,,,
02150,Kodiak Island,2070,,,
02158,Kusilvak,626,,,
02164,Lake and Peninsula,182,,,
02170,Matanuska-Susitna,18901,,,
02180,Nome,1012,,,
02185,North Slope,605,,,
02188,Northwest Arctic,659,,,
02195,Petersburg,933,,,
02198,Prince of Wales-Hyder,1190,,,
02220,Sitka,1691,,,
02230,Skagway,210,,,
02240,Southeast Fairbanks,1507,,,
02000,UNKNOWN,*,,,
02275,Wrangell,624,,,
02282,Yakutat,124,,,
02290,Yukon-Koyukuk,1017,,,
01001,Autauga,12391,,,
01003,Baldwin,64196,,,
01005,Barbour,6505,,,
01007,Bibb,4955,,,
01009,Blount,13429,,,
01011,Bullock,2432,,,
01013,Butler,5221,,,
01015,Calhoun,28769,,,
01017,Chambers,9361,,,
01019,Cherokee,7977,,,
01021,Chilton,10406,,,
01023,Choctaw,3959,,,
01025,Clarke,6662,,,
01027,Clay,3847,,,
01029,Cleburne,3762,,,
01031,Coffee,11977,,,
01033,Colbert,15108,,,
01035,Conecuh,3688,,,
01037,Coosa,3255,,,
01039,Covington,10668,,,
01041,Crenshaw,3653,,,
01043,Cullman,21725,,,
01045,Dale,11706,,,
01047,Dallas,10139,,,
01049,DeKalb,16539,,,
01051,Elmore,19812,,,
01053,Escambia,9266,,,
01055,Etowah,27579,,,
01057,Fayette,4701,,,
01059,Franklin,7047,,,
01061,Geneva,7343,,,
01063,Greene,2395,,,
01065,Hale,4272,,,
01067,Henry,5341,,,
01069,Houston,26516,,,
01071,Jackson,14214,,,
01073,Jefferson,141309,,,
01075,Lamar,3979,,,
01077,Lauderdale,24234,,,
01079,Lawrence,8296,,,
01081,Lee,29121,,,
01083,Limestone,21299,,,
01085,Lowndes,3178,,,
01087,Macon,4854,,,
01089,Madison,77483,,,
01091,Marengo,5616,,,
01093,Marion,7763,,,
01095,Marshall,22604,,,
01097,Mobile,92078,,,
01099,Monroe,5557,,,
01101,Montgomery,47047,,,
01103,Morgan,28249,,,
01105,Perry,2690,,,
01107,Pickens,5141,,,
01109,Pike,7018,,,
01111,Randolph,6470,,,
01113,Russell,12461,,,
01117,Shelby,44057,,,
01115,St. Clair,21280,,,
01119,Sumter,3329,,,
01121,Talladega,21119,,,
01123,Tallapoosa,12189,,,
01125,Tuscaloosa,39746,,,
01000,UNKNOWN,*,,,
01127,Walker,18012,,,
01129,Washington,4544,,,
01131,Wilcox,3330,,,
01133,Winston,6374,,,
05001,Arkansas,4347,,,
05003,Ashley,5378,,,
05005,Baxter,16023,,,
05007,Benton,51142,,,
05009,Boone,11058,,,
05011,Bradley,2596,,,
05013,Calhoun,1230,,,
05015,Carroll,8021,,,
05017,Chicot,2787,,,
05019,Clark,4971,,,
05021,Clay,4034,,,
05023,Cleburne,8863,,,
05025,Cleveland,2085,,,
05027,Columbia,5476,,,
05029,Conway,5588,,,
05031,Craighead,20694,,,
05033,Crawford,15230,,,
05035,Crittenden,10033,,,
05037,Cross,4123,,,
05039,Dallas,1995,,,
05041,Desha,2862,,,
05043,Drew,4060,,,
05045,Faulkner,23290,,,
05047,Franklin,4713,,,
05049,Fulton,3844,,,
05051,Garland,31422,,,
05053,Grant,4374,,,
05055,Greene,10271,,,
05057,Hempstead,4911,,,
05059,Hot Spring,8426,,,
05061,Howard,3288,,,
05063,Independence,9279,,,
05065,Izard,4430,,,
05067,Jackson,3988,,,
05069,Jefferson,16267,,,
05071,Johnson,6272,,,
05073,Lafayette,1892,,,
05075,Lawrence,4497,,,
05077,Lee,2046,,,
05079,Lincoln,2509,,,
05081,Little River,3355,,,
05083,Logan,6120,,,
05085,Lonoke,15233,,,
05087,Madison,4394,,,
05089,Marion,5889,,,
05091,Miller,9535,,,
05093,Mississippi,8600,,,
05095,Monroe,2054,,,
05097,Montgomery,2800,,,
05099,Nevada,2237,,,
05101,Newton,2392,,,
05103,Ouachita,6457,,,
05105,Perry,2868,,,
05107,Phillips,4302,,,
05109,Pike,2948,,,
05111,Poinsett,5811,,,
05113,Polk,5807,,,
05115,Pope,14125,,,
05117,Prairie,2241,,,
05119,Pulaski,85720,,,
05121,Randolph,4834,,,
05125,Saline,29446,,,
05127,Scott,2751,,,
05129,Searcy,2659,,,
05131,Sebastian,28900,,,
05133,Sevier,3088,,,
05135,Sharp,6276,,,
05123,St. Francis,5245,,,
05137,Stone,4525,,,
05000,UNKNOWN,*,,,
05139,Union,10012,,,
05141,Van Buren,5631,,,
05143,Washington,39994,,,
05145,White,18320,,,
05147,Woodruff,1882,,,
05149,Yell,5057,,,
04001,Apache,15105,,,
04003,Cochise,37511,,,
04005,Coconino,24134,,,
04007,Gila,18722,,,
04009,Graham,6649,,,
04011,Greenlee,1388,,,
04012,La Paz,6734,,,
04013,Maricopa,801458,,,
04015,Mohave,77100,,,
04017,Navajo,27857,,,
04019,Pima,262356,,,
04021,Pinal,98294,,,
04023,Santa Cruz,11748,,,
04000,UNKNOWN,*,,,
04025,Yavapai,94902,,,
04027,Yuma,44098,,,
06001,Alameda,273375,,,
06003,Alpine,280,,,
06005,Amador,12574,,,
06007,Butte,48808,,,
06009,Calaveras,14570,,,
06011,Colusa,4243,,,
06013,Contra Costa,223840,,,
06015,Del Norte,6938,,,
06017,El Dorado,51083,,,
06019,Fresno,158745,,,
06021,Glenn,6050,,,
06023,Humboldt,31749,,,
06025,Imperial,36264,,,
06027,Inyo,4833,,,
06029,Kern,133619,,,
06031,Kings,19490,,,
06033,Lake,18283,,,
06035,Lassen,5560,,,
06037,Los Angeles,1678944,,,
06039,Madera,27244,,,
06041,Marin,64429,,,
06043,Mariposa,5297,,,
06045,Mendocino,24724,,,
06047,Merced,41465,,,
06049,Modoc,2800,,,
06051,Mono,2200,,,
06053,Monterey,73816,,,
06055,Napa,32094,,,
06057,Nevada,31803,,,
06059,Orange,585248,,,
06061,Placer,98182,,,
06063,Plumas,6803,,,
06065,Riverside,436200,,,
06067,Sacramento,290673,,,
06069,San Benito,10580,,,
06071,San Bernardino,341101,,,
06073,San Diego,606776,,,
06075,San Francisco,160739,,,
06077,San Joaquin,126613,,,
06079,San Luis Obispo,73226,,,
06081,San Mateo,141301,,,
06083,Santa Barbara,85713,,,
06085,Santa Clara,303511,,,
06087,Santa Cruz,58262,,,
06089,Shasta,50190,,,
06091,Sierra,914,,,
06093,Siskiyou,14464,,,
06095,Solano,90937,,,
06097,Sonoma,119326,,,
06099,Stanislaus,95790,,,
06101,Sutter,19067,,,
06103,Tehama,15708,,,
06105,Trinity,3691,,,
06107,Tulare,70148,,,
06109,Tuolumne,17023,,,
06000,UNKNOWN,*,,,
06111,Ventura,173007,,,
06113,Yolo,36361,,,
06115,Yuba,14257,,,
08001,Adams,70390,,,
08003,Alamosa,3400,,,
08005,Arapahoe,106622,,,
08007,Archuleta,4663,,,
08009,Baca,989,,,
08011,Bent,1191,,,
08013,Boulder,60579,,,
08014,Broomfield,12993,,,
08015,Chaffee,6073,,,
08017,Cheyenne,412,,,
08019,Clear Creek,2083,,,
08021,Conejos,2097,,,
08023,Costilla,1359,,,
08025,Crowley,910,,,
08027,Custer,2115,,,
08029,Delta,10509,,,
08031,Denver,99131,,,
08033,Dolores,621,,,
08035,Douglas,59890,,,
08037,Eagle,7567,,,
08041,El Paso,125799,,,
08039,Elbert,6020,,,
08043,Fremont,13737,,,
08045,Garfield,10391,,,
08047,Gilpin,1275,,,
08049,Grand,3152,,,
08051,Gunnison,2894,,,
08053,Hinsdale,263,,,
08055,Huerfano,2716,,,
08057,Jackson,367,,,
08059,Jefferson,120455,,,
08061,Kiowa,356,,,
08063,Kit Carson,1677,,,
08067,La Plata,13159,,,
08065,Lake,1163,,,
08069,Larimer,74900,,,
08071,Las Animas,4605,,,
08073,Lincoln,1121,,,
08075,Logan,4680,,,
08077,Mesa,40630,,,
08079,Mineral,337,,,
08081,Moffat,2684,,,
08083,Montezuma,7744,,,
08085,Montrose,13028,,,
