County,PQI12_UTI_AGE_LT_65,PQI11_BCTRL_PNA_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40,BENES_TOTAL_CNT
AK-Aleutians East,,,,171
AK-Aleutians West,,,,250
AK-Anchorage,,,,45726
AK-Bethel,,,,1748
AK-Bristol Bay,,,,181
AK-Chugach,,,,263
AK-Copper River,,,,239
AK-Denali,,,,320
AK-Dillingham,,,,578
AK-Fairbanks North Star,,,,13603
AK-Haines,,,,737
AK-Hoonah-Angoon,,,,586
AK-Juneau,,,,5958
AK-Kenai Peninsula,,,,14408
AK-Ketchikan Gateway,,,,2867
AK-Kodiak Island,,,,2070
AK-Kusilvak,,,,626
AK-Lake and Peninsula,,,,182
AK-Matanuska-Susitna,,,,18901
AK-Nome,,,,1012
AK-North Slope,,,,605
AK-Northwest Arctic,,,,659
AK-Petersburg,,,,933
AK-Prince of Wales-Hyder,,,,1190
AK-Sitka,,,,1691
AK-Skagway,,,,210
AK-Southeast Fairbanks,,,,1507
AK-UNKNOWN,,,,*
AK-Wrangell,,,,624
AK-Yakutat,,,,124
AK-Yukon-Koyukuk,,,,1017
AL-Autauga,,,,12391
AL-Baldwin,,,,64196
AL-Barbour,,,,6505
AL-Bibb,,,,4955
AL-Blount,,,,13429
AL-Bullock,,,,2432
AL-Butler,,,,5221
AL-Calhoun,,,,28769
AL-Chambers,,,,9361
AL-Cherokee,,,,7977
AL-Chilton,,,,10406
AL-Choctaw,,,,3959
AL-Clarke,,,,6662
AL-Clay,,,,3847
AL-Cleburne,,,,3762
AL-Coffee,,,,11977
AL-Colbert,,,,15108
AL-Conecuh,,,,3688
AL-Coosa,,,,3255
AL-Covington,,,,10668
AL-Crenshaw,,,,3653
AL-Cullman,,,,21725
AL-Dale,,,,11706
AL-Dallas,,,,10139
AL-DeKalb,,,,16539
AL-Elmore,,,,19812
AL-Escambia,,,,9266
AL-Etowah,,,,27579
AL-Fayette,,,,4701
AL-Franklin,,,,7047
AL-Geneva,,,,7343
AL-Greene,,,,2395
AL-Hale,,,,4272
AL-Henry,,,,5341
AL-Houston,,,,26516
AL-Jackson,,,,14214
AL-Jefferson,,,,141309
AL-Lamar,,,,3979
AL-Lauderdale,,,,24234
AL-Lawrence,,,,8296
AL-Lee,,,,29121
AL-Limestone,,,,21299
AL-Lowndes,,,,3178
AL-Macon,,,,4854
AL-Madison,,,,77483
AL-Marengo,,,,5616
AL-Marion,,,,7763
AL-Marshall,,,,22604
AL-Mobile,,,,92078
AL-Monroe,,,,5557
AL-Montgomery,,,,47047
AL-Morgan,,,,28249
AL-Perry,,,,2690
AL-Pickens,,,,5141
AL-Pike,,,,7018
AL-Randolph,,,,6470
AL-Russell,,,,12461
AL-Shelby,,,,44057
AL-St. Clair,,,,21280
AL-Sumter,,,,3329
AL-Talladega,,,,21119
AL-Tallapoosa,,,,12189
AL-Tuscaloosa,,,,39746
AL-UNKNOWN,,,,*
AL-Walker,,,,18012
AL-Washington,,,,4544
AL-Wilcox,,,,3330
AL-Winston,,,,6374
AR-Arkansas,,,,4347
AR-Ashley,,,,5378
AR-Baxter,,,,16023
AR-Benton,,,,51142
AR-Boone,,,,11058
AR-Bradley,,,,2596
AR-Calhoun,,,,1230
AR-Carroll,,,,8021
AR-Chicot,,,,2787
AR-Clark,,,,4971
AR-Clay,,,,4034
AR-Cleburne,,,,8863
AR-Cleveland,,,,2085
AR-Columbia,,,,5476
AR-Conway,,,,5588
AR-Craighead,,,,20694
AR-Crawford,,,,15230
AR-Crittenden,,,,10033
AR-Cross,,,,4123
AR-Dallas,,,,1995
AR-Desha,,,,2862
AR-Drew,,,,4060
AR-Faulkner,,,,23290
AR-Franklin,,,,4713
AR-Fulton,,,,3844
AR-Garland,,,,31422
AR-Grant,,,,4374
AR-Greene,,,,10271
AR-Hempstead,,,,4911
AR-Hot Spring,,,,8426
AR-Howard,,,,3288
AR-Independence,,,,9279
AR-Izard,,,,4430
AR-Jackson,,,,3988
AR-Jefferson,,,,16267
AR-Johnson,,,,6272
AR-Lafayette,,,,1892
AR-Lawrence,,,,4497
AR-Lee,,,,2046
AR-Lincoln,,,,2509
AR-Little River,,,,3355
AR-Logan,,,,6120
AR-Lonoke,,,,15233
AR-Madison,,,,4394
AR-Marion,,,,5889
AR-Miller,,,,9535
AR-Mississippi,,,,8600
AR-Monroe,,,,2054
AR-Montgomery,,,,2800
AR-Nevada,,,,2237
AR-Newton,,,,2392
AR-Ouachita,,,,6457
AR-Perry,,,,2868
AR-Phillips,,,,4302
AR-Pike,,,,2948
AR-Poinsett,,,,5811
AR-Polk,,,,5807
AR-Pope,,,,14125
AR-Prairie,,,,2241
AR-Pulaski,,,,85720
AR-Randolph,,,,4834
AR-Saline,,,,29446
AR-Scott,,,,2751
AR-Searcy,,,,2659
AR-Sebastian,,,,28900
AR-Sevier,,,,3088
AR-Sharp,,,,6276
AR-St. Francis,,,,5245
AR-Stone,,,,4525
AR-UNKNOWN,,,,*
AR-Union,,,,10012
AR-Van Buren,,,,5631
AR-Washington,,,,39994
AR-White,,,,18320
AR-Woodruff,,,,1882
AR-Yell,,,,5057
AZ-Apache,,,,15105
