State,BENES_TOTAL_CNT,PQI03_DBTS_AGE_LT_65,PQI05_COPD_ASTHMA_AGE_40_64,PQI07_HYPRTNSN_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40
Alaska,120280,704,302,171,0
Alabama,1151244,533,537,249,131
Arkansas,699823,425,382,261,*
Arizona,1528056,672,292,221,*
California,7080940,785,361,207,60
Colorado,1055744,419,298,107,*
Connecticut,757873,700,517,226,*
District of Columbia,99522,666,455,878,*
Delaware,248282,700,678,179,*
Florida,5250841,780,511,330,153
Georgia,1986659,603,429,427,125
Hawaii,313961,1020,353,247,*
Iowa,703006,403,432,107,*
Idaho,399056,267,162,122,*
Illinois,2469323,746,648,226,97
Indiana,1412597,653,639,226,123
Kansas,604506,527,407,139,*
Kentucky,1019526,529,497,153,*
Louisiana,966338,582,382,348,*
Massachusetts,1491384,626,798,120,85
Maryland,1174516,737,890,291,181
Maine,387113,360,285,72,*
Michigan,2305486,740,651,239,84
Minnesota,1172156,482,355,146,*
Missouri,1367107,556,547,203,*
Mississippi,660913,609,509,226,*
Montana,267343,383,396,*,*
North Carolina,2273250,621,443,197,64
North Dakota,150975,827,569,156,0
Nebraska,393267,533,374,100,*
New Hampshire,350662,524,401,100,*
New Jersey,1805401,863,821,242,101
New Mexico,474322,593,209,162,*
Nevada,614468,904,484,308,*
New York,4003915,606,491,183,97
Ohio,2604737,597,559,212,68
Oklahoma,828700,626,417,235,*
Oregon,969192,431,322,109,*
Pennsylvania,3027857,643,566,179,68
,792881,944,*,*,0
Rhode Island,248622,563,697,*,*
South Carolina,1249321,626,392,269,154
South Dakota,202604,607,294,*,0
Tennessee,1522963,589,432,183,*
Texas,4860770,889,323,298,75
,*,*,*,*,*
Utah,472847,488,221,109,*
Virginia,1722838,666,434,218,*
,21608,*,*,*,0
Vermont,169047,404,339,*,0
Washington,1555950,426,254,122,*
Wisconsin,1341157,458,376,175,82
West Virginia,468728,634,610,205,*
Wyoming,129740,296,616,*,0
,*,*,*,*,*
